categoryId,name,description,blockGroup,bitfieldPosition,enabled,inheritable,opaque,readOnly,decideMinPercent,decideMinVotes,websiteRequired,createdAt,modifiedAt,categoryTypeId
20,P2P/File sharing,"Sites that facilitate the sharing of digital files between individuals, especially via peer-to-peer software, including torrent sites.","bandwidth,school,netgear",19,y,n,n,n,70,5,n,1200348418,1209580035,1
57,Parked Domains,"Sites that are placeholders ""parked"" for future use. Current uses may include single-page advertising sites.",,37,y,n,n,n,90,5,y,,1211413044,1
155,Partner Integration 10,,,100,y,n,y,n,1,1,y,1428353841,1428353841,2
157,Partner Integration 11,,,101,y,n,y,n,1,1,y,1428353841,1428353841,2
159,Partner Integration 12,,,102,y,n,y,n,1,1,y,1428353841,1428353841,2
161,Partner Integration 13,,,103,y,n,y,n,1,1,y,1428353841,1428353841,2
163,Partner Integration 14,,,104,y,n,y,n,1,1,y,1428353841,1428353841,2
165,Partner Integration 15,,,105,y,n,y,n,1,1,y,1428353841,1428353841,2
149,Partner Integration 7,,,97,y,n,y,n,1,1,y,1428353841,1428353841,2
151,Partner Integration 8,,,98,y,n,y,n,1,1,y,1428353841,1428353841,2
153,Partner Integration 9,,,99,y,n,y,n,1,1,y,1428353841,1428353841,2
98,Phishing,,,68,y,n,y,n,1,1,n,1379025003,1379025003,2
48,Photo Sharing,"Sites for sharing photographs, as individual images, galleries and albums.",,20,y,n,n,n,70,5,y,,1205361957,1
71,Podcasts,"Sites that offer podcasts, digital media files distributed over the Internet, often using syndication feeds, for playback on portable media players and personal computers. Both audio and video podcasts are included.",,51,y,n,n,n,70,5,y,,1205968196,1
66,Politics,"Sites about politics, politicians, political parties and organizations. Government sites are separate.",,52,y,n,n,n,70,5,y,,1205968118,1
64,Pornography,"Anything relating to pornography, including mild depiction, soft pornography or hard-core pornography.",adult,44,y,n,n,n,60,3,y,1204910084,1204910084,1
21,Portals,"Sites that offer gateways to the Internet as a whole, often including bundled services on their own site.",,21,y,n,n,n,70,5,y,1200348425,1205361962,1
174,Potentially Harmful,Domains that exhibit suspicious behavior and may be part of an attack.,,109,y,n,y,n,1,1,n,1465419245,1465419245,2
61,Proxy/Anonymizer,"Sites providing proxy bypass information or services. Also, sites that allow the user to surf the net anonymously, including sites that allow the user to send anonymous emails.",adult,43,y,n,n,n,60,3,n,1204910084,1204910084,1
22,Radio,Sites that offer online radio listening or promote radio stations.,,22,y,n,n,n,70,5,y,1200348430,1205361970,1
65,Religious,"Sites about religion, religious teachings and groups, and spirituality.",,53,y,n,n,n,70,5,y,,1205968865,1
54,Research/Reference,"Sites such as encyclopedias, dictionaries as well as other research-related resources.",,54,y,n,n,n,70,5,y,,1205361974,1
23,Search Engines,Sites that offer result listings based on keywords.,,23,y,n,n,n,70,5,y,1200348435,1205361979,1
62,Sexuality,"Sites that provide information, images or implications of bondage, sadism, masochism, fetish, beating, body piercing or self-mutilation. This category is not intended for LGBT related sites that do not fall under the aforementioned criteria.",adult,45,y,n,n,n,60,3,y,1204910084,1204910084,1
178,Sinkhole,Sinkhole,,74,y,n,y,y,20,20,n,1471020442,1471020442,3
24,Social Networking,Sites that promote interaction and networking between people.,netgear,24,y,n,n,n,70,5,y,1200348442,1209579929,1
47,Software/Technology,"Sites about computing, cloud computing, hardware and technology, including news, information, code and vendor information.",,25,y,n,n,n,70,5,y,,1205362111,1
51,Sports,"Sites about sports of all kinds, from professional to amateur, from news to league information and schedules. Includes Martial Arts and MMA related sites.",,39,y,n,n,n,70,5,y,,1205362117,1
100,Suspicious Response,,,69,y,n,y,n,1,1,n,1379025003,1379025003,2
59,Tasteless,"Sites that contain information on such subjects as mutilation, torture, horror, or the grotesque. Includes Pro-Anorexia and Pro-Suicide related sites.",adult,46,y,n,n,n,60,3,y,1204910084,1204910084,1
34,Television,Sites that promote television shows or offer television watching online.,,26,y,n,n,n,70,5,y,,1205362128,1
125,ThreatConnect,"Domains sent to Umbrella via ThreatConnect Event notifications, based on the notification settings enabled within the ThreatConnect dashboard.",,84,y,n,y,n,1,1,y,1418689429,1418689429,2
121,ThreatQ,"Domains sent to Umbrella via ThreatQ Event notifications, based on the notification settings enabled within the ThreatQ dashboard.",,82,y,n,y,n,1,1,y,1418689429,1418689429,2
73,Tobacco,"Sites about tobacco use and related products, commercial and otherwise.",,38,y,n,n,n,70,5,y,,,1
68,Travel,"Sites with travel information and services, including reservations for airlines, cars, hotels, vacations, and trips.",,55,y,n,n,n,70,5,y,,1205968150,1
169,Unauthorized IP Tunnel Access,"Traffic to unauthorized IP addresses is blocked automatically. Unauthorized IPs are unexpected addresses which are not flagged by the Cisco Umbrella IP Layer Enforcement solution.  This traffic can originate from routes being set on the client side by a user or a process and may indicate malicious activity interfering with the device's routing table, or a user trying to bypass the organization's security infrastructure to gain access to the Internet.",,106,y,n,y,n,1,1,n,1460748771,1460748771,2
170,URL Shortener,An online application or service that converts a regular URL into a condensed format.,NULL,107,y,n,n,n,70,5,y,1464892754,1464892754,1
26,Video Sharing,Sites for sharing video content.,"bandwidth,netgear",28,y,n,n,n,70,5,y,1200348451,1209579965,1
27,Visual Search Engines,Sites for searching for images based on keywords.,,29,y,n,n,n,70,5,y,1200348458,1205362159,1
28,Weapons,"Sites about weapons, commercial and otherwise.","school,netgear",30,y,n,n,n,70,5,y,1200348468,1209580003,1
77,Web Spam,"Redirect targets containing unwanted Sweepstakes/Survey/Advertisements for free merchandise, pharmaceutical spam or Rolex distributions. ",,58,y,n,n,n,70,5,y,,,1
29,Webmail,Sites that offer the ability to send or receive email.,,31,y,n,n,n,70,5,y,1200348473,1205362169,1
117,XTO,"Domains sent to Umbrella via XTO Event notifications, based on the notification settings enabled within the XTO dashboard.",,80,y,n,y,n,1,1,y,1418689429,1418689429,2
123,Y,"Domains sent to Umbrella via Y Event notifications, based on the notification settings enabled within the Y dashboard.",,83,y,n,y,n,1,1,y,1418689429,1418689429,2
110,ZeroFox,"Domains sent to Umbrella via ZeroFox Event notifications, based on the notification settings enabled within the ZeroFox dashboard.",,79,y,n,y,n,1,1,y,1409856615,1409856615,2
